text,bio,pola
比 可 以 说 性 价 比 要 好 很 多,O O O O B-ASP I-ASP I-ASP O O O O,0 0 0 0 1 1 1 0 0 0 0
拥 有 了 更 高 的 像 素,O O O O O O B-ASP I-ASP,0 0 0 0 0 0 1 1
或 许 是 触 控 芯 片 的 灵 敏 度 低,O O O O O O O O B-ASP I-ASP I-ASP O,0 0 0 0 0 0 0 0 -1 -1 -1 0
游 戏 发 热 量 比 要 小,O O B-ASP I-ASP I-ASP O O O,0 0 1 1 1 0 0 0
的 硬 件 还 是 不 错,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
外 形 是 漂 亮 的,B-ASP I-ASP O O O O,1 1 0 0 0 0
软 件 的 运 行 是 流 畅 的,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 1 0 0 0 0
虽 然 软 件 设 计 有 欠 缺,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 -1 -1 -1 -1 0 0 0
有 些 字 体 设 计 有 点 丑 了,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 0 0 0 0
的 价 钱 有 点 高,O B-ASP I-ASP O O O,0 -1 -1 0 0 0
发 热 量 在 看 视 频 的 时 候 很 明 显,B-ASP I-ASP I-ASP O O O O O O O O O O,-1 -1 -1 0 0 0 0 0 0 0 0 0 0
软 件 不 全 面 待 完 善 还 可 以 接 受,B-ASP I-ASP O O O O O O O O O O O,-1 -1 0 0 0 0 0 0 0 0 0 0 0
城 市 万 花 筒 很 好 玩,B-ASP I-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 1 0 0 0
屏 幕,B-ASP I-ASP,1 1
电 池 的 确 一 般,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
功 能 还 可 以,B-ASP I-ASP O O O,1 1 0 0 0
机 身 轻 巧,B-ASP I-ASP O O,1 1 0 0
携 带 方 便,B-ASP I-ASP O O,1 1 0 0
手 感 不 错,B-ASP I-ASP O O,1 1 0 0
拍 摄 近 物 和 摄 像 时 稳 定 性 差,O O O O O O O O B-ASP I-ASP I-ASP O,0 0 0 0 0 0 0 0 -1 -1 -1 0
通 话 声 音 比 好 点,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
屏 幕 是 的 可 视 度 比 好,O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 1 1 1 0 0
耗 电 和 一 样 费 电,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
照 相 有 点 失 望,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
噪 点 控 制 比 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
还 有 就 是 流 畅 度 没 有 想 象 中 好,O O O O B-ASP I-ASP I-ASP O O O O O O,0 0 0 0 -1 -1 -1 0 0 0 0 0 0
使 用 起 来 发 热 没 有 控 制 好,O O O O B-ASP I-ASP O O O O O,0 0 0 0 -1 -1 0 0 0 0 0
目 前 最 大 的 问 题 就 是 价 格 有 些 不 实 在,O O O O O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 0 0 0 0 -1 -1 0 0 0 0 0
超 薄 的 机 身 比 还 要 出 色 不 少,O O O B-ASP I-ASP O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0
但 整 体 性 能 还 有 所 不 足,O B-ASP I-ASP I-ASP I-ASP O O O O O,0 -1 -1 -1 -1 0 0 0 0 0
三 星 的 屏 幕 太 毒 了,O O O B-ASP I-ASP O O O,0 0 0 -1 -1 0 0 0
单 手 操 作 显 然 不 太 现 实,B-ASP I-ASP I-ASP I-ASP O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0
但 的 屏 幕 要 的 就 是 清 澈 透 亮,O O B-ASP I-ASP O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0
的 大 屏 真 的 太 霸 气 了,O B-ASP I-ASP O O O O O O,0 1 1 0 0 0 0 0 0
手 机 的 核 处 理 器 发 热 控 制 还 好,O O O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 0 1 1 1 1 0 0
听 歌 比 音 质 好,O O O B-ASP I-ASP O,0 0 0 1 1 0
整 个 操 控 有 点 别 扭,O O B-ASP I-ASP O O O O,0 0 1 1 0 0 0 0
质 感 不 错,B-ASP I-ASP O O,1 1 0 0
从 画 面 讲 色 彩 的 确 很 艳 丽,O O O O B-ASP I-ASP O O O O O,0 0 0 0 1 1 0 0 0 0 0
这 点 从 外 行 来 看 是 照 片 要 比 实 际 情 景 漂 亮 了,O O O O O O O O B-ASP I-ASP O O O O O O O O O,0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
快 门 比 家 的 好 许 多,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
快 门 按 下 后 的 存 储 速 度 一 般,O O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 -1 -1 -1 -1 0 0
音 乐 我 觉 的 音 乐 表 示 能 力 还 是 不 错 的,O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0
挺 好 用 的 谁 用 谁 知 道 哦,O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0
聚 焦 速 度 还 是 不 错,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
我 只 能 说 正 常 咯,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1
尤 其 是 那 个 纯 净 后 台 真 心 喜 欢,O O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 0 1 1 0 0 0 0
屏 幕 真 的 很 清 楚,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
系 统 升 级 也 是 比 较 方 便 的,B-ASP I-ASP I-ASP I-ASP O O O O O O O,1 1 1 1 0 0 0 0 0 0 0
发 热 量 还 算 正 常,B-ASP I-ASP I-ASP O O O O,1 1 1 0 0 0 0
除 了 继 承 了 出 色 的 机 身 设 计 操 控 手 感 的 大 光 圈 定 焦 微 距 等 特 点 外,O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
连 拍 的 速 度 特 别 是 存 储 的 速 度 非 常 快,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O,1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
首 先 手 机 发 热 稍 微 有 点 大,O O O O B-ASP I-ASP O O O O O,0 0 0 0 -1 -1 0 0 0 0 0
手 机 电 池 不 耐 用 虽 然 是 接 近 毫 安 的 电 池,O O B-ASP I-ASP O O O O O O O O O O O O O,0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
待 机 时 费 电 也 很 快,O O O B-ASP I-ASP O O O,0 0 0 -1 -1 0 0 0
流 量 很 费,B-ASP I-ASP O O,-1 -1 0 0
小 米 的 包 装 很 严 谨,O O O B-ASP I-ASP O O O,0 0 0 1 1 0 0 0
反 正 小 米 的 包 装 外 观 都 还 挺 不 错 的,O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 0 1 1 1 1 0 0 0 0 0 0
感 觉 屏 幕 很 艳 丽,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
显 示 效 果 真 心 很 赞,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
配 置 高,B-ASP I-ASP O,1 1 0
速 度 快 我 买 来 还 没 死 机 过,B-ASP I-ASP O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0
对 焦 速 度 很 快,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
高 感 也 不 比 差,B-ASP I-ASP O O O O,1 1 0 0 0 0
高 感 也 不 错,B-ASP I-ASP O O O,1 1 0 0 0
只 是 控 制 和 手 感 恐 怕 没 有 这 么 舒 服,O O B-ASP I-ASP O O O O O O O O O O O,0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0
通 话 声 音 实 在 太 小,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
话 筒 还 可 以,B-ASP I-ASP O O O,1 1 0 0 0
听 筒 实 在 不 敢 恭 维,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
应 用 病 毒 广 告 很 多,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 0 0
还 是 一 些 非 常 人 性 化 的 功 能,O O O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 1 1
画 质 确 实 有 了 不 小 的 提 高,B-ASP I-ASP O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0
同 时 取 景 器 的 效 果 非 常 棒,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 0 1 1 1 1 1 1 0 0 0
有 着 极 骚 而 易 碎 的 后 背,O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 -1 -1
但 是 个 人 感 觉 的 呼 吸 灯 没 有 那 么 优 雅,O O O O O O O B-ASP I-ASP I-ASP O O O O O O,0 0 0 0 0 0 0 -1 -1 -1 0 0 0 0 0 0
的 拍 照 功 能 不 能 说 特 别 出 众,O B-ASP I-ASP I-ASP I-ASP O O O O O O O,0 -1 -1 -1 -1 0 0 0 0 0 0 0
导 致 对 焦 点 分 布 非 常 狭 小,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 -1 0 0 0 0
对 于 构 图 非 常 不 利,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
连 拍 速 度 比 下 降 一 半 的 确 很 意 外,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
载 入 速 度 还 是 快 过,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
拍 照 跟 屏 幕 相 对 好 点,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
色 彩 丰 富,B-ASP I-ASP O O,1 1 0 0
性 能 良 好,B-ASP I-ASP O O,1 1 0 0
靓 丽 的 外 形,O O O B-ASP I-ASP,0 0 0 1 1
本 次 的 纯 白 色 机 身 十 分 漂 亮,O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 1 1 0 0 0 0
感 觉 就 是 动 画 漂 亮 了,O O O O B-ASP I-ASP O O O,0 0 0 0 1 1 0 0 0
内 存 控 制 比 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
游 戏 进 入 比 较 慢,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
手 感 不 错,B-ASP I-ASP O O,1 1 0 0
速 度 很 流 畅,B-ASP I-ASP O O O,1 1 0 0 0
分 辨 率 和 锐 度 都 很 高,B-ASP I-ASP I-ASP O O O O O O,1 1 1 0 0 0 0 0 0
机 身 异 常 简 约,B-ASP I-ASP O O O O,1 1 0 0 0 0
通 话 质 量 极 差,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
太 薄 易 摔 坏 易 磨 损,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,-1 -1 -1 -1 -1 -1 -1 -1
运 行 速 度 绝 对 的 流 畅,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
快 的 连 过 度 动 画 都 不 完 整,O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 -1 -1 0 0 0 0
照 相 差 些,B-ASP I-ASP O O,-1 -1 0 0
系 统 好 些,B-ASP I-ASP O O,1 1 0 0
当 然 的 很 多 手 势 操 作 很 人 性 化,O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 1 1 1 1 0 0 0 0
长 的 特 别 漂 亮,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1
万 像 素 对 于 一 般 用 户 来 说 足 够 了,O B-ASP I-ASP O O O O O O O O O O O,0 1 1 0 0 0 0 0 0 0 0 0 0 0
该 机 器 控 噪 能 力 还 可 以,O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 1 1 1 1 0 0 0
操 控 手 感 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
高 清 摄 像,O O B-ASP I-ASP,0 0 1 1
完 美 屏,O O B-ASP,0 0 1
可 视 角 度 根 本 不 是 那 些 照 片 和 黑 子 说 的 那 样 糟 糕,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
发 热 一 般,B-ASP I-ASP O O,-1 -1 0 0
屏 幕 实 在 是 太 惊 艳 了,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
我 的 屏 幕 可 视 角 度 很 好,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 1 1 1 1 1 1 0 0
这 么 好 看 的 外 观 为 什 么 拍 照 效 果 十 分 一 般 其 实 算 是 不 错 了 但 是 个 人 觉 得 配 不 上 这 个 价 位 和 外 观 应 该 有 的 拍 照 效 果,O O O O O B-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
电 池 个 人 完 全 够 用 了,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
充 电 很 快,B-ASP I-ASP O O,1 1 0 0
耳 机 音 质 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
不 过 拍 的 要 比 鲜 艳 点,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1 1
不 过 的 对 焦 速 度 是 最 快 的,O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 1 1 1 1 0 0 0 0
如 果 开 启 夜 景 噪 点 高 于,O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 1 1 0 0
的 的 确 很 清 晰,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1
可 视 角 度 最 大 不 能 说 最 好 因 为 有 人 喜 欢 大 有 人 喜 欢 小,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
漂 亮 的 外 观,O O O B-ASP I-ASP,0 0 0 1 1
不 错 的 配 置 除 去,O O O B-ASP I-ASP O O,0 0 0 1 1 0 0
就 是 现 在 价 格 个 人 感 觉 还 是 偏 高,O O O O B-ASP I-ASP O O O O O O O O,0 0 0 0 -1 -1 0 0 0 0 0 0 0 0
的 功 能 很 强 大,O B-ASP I-ASP O O O,0 1 1 0 0 0
这 机 器 可 玩 性 很 高,O O O B-ASP I-ASP I-ASP O O,0 0 0 1 1 1 0 0
相 机 内 置 的 一 些 处 理 效 果 水 彩 画 玩 具 等 很 有 意 思,O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
关 键 的 时 候 需 要 表 现 持 续 影 像 的 短 片 功 能 还 是 很 有 用 的,O O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0
不 过 我 用 的 是 理 光 手 动 标 头 很 难 做 到 对 焦 准 确,O O O O O O O O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 0 0
机 身 小 真 省 劲 啊,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
拍 摄 音 稍 闷,B-ASP I-ASP I-ASP O O,-1 -1 -1 0 0
广 角 时 畸 变 很 讨 厌,B-ASP I-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 -1 0 0 0
色 彩 表 现 比 差,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
没 见 过 这 么 耐 用 的 电 池,O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 1 1
其 他 的 如 多 重 曝 光 等 等 功 能 都 很 强 大,O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O,0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0
这 款 机 器 机 型 功 能 很 合 用,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1 1 1 1
性 能 很 强 大,B-ASP I-ASP O O O,1 1 0 0 0
系 统 很 流 畅,B-ASP I-ASP O O O,1 1 0 0 0
做 工 就 很 一 般 了,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
屏 幕 很 柔 和,B-ASP I-ASP O O O,1 1 0 0 0
总 得 来 说 谷 歌 太 子 感 觉 还 是 不 错 的,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
优 点 音 质 非 常 不 错,O O B-ASP I-ASP O O O O,0 0 1 1 0 0 0 0
视 频 图 像 也 很 清 晰,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
色 彩 还 原 较 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
外 观 也 很 现 代,B-ASP I-ASP O O O O,1 1 0 0 0 0
缺 点 操 作 太 麻 烦 了,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
播 放 音 乐 界 面 太 幼 稚 了,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 -1 -1 0 0 0 0
持 续 时 间 太 短,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
性 价 比 很 高,B-ASP I-ASP I-ASP O O,1 1 1 0 0
用 跟 索 尼 对 比 拍 照 居 然 没 有 的 效 果 好,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
另 外 待 机 方 面 还 算 中 规 中 矩,O O B-ASP I-ASP O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0
高 感 下 的 画 质 很 优 秀,O O O O B-ASP I-ASP O O O,0 0 0 0 1 1 0 0 0
控 噪 能 力 很 不 错,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
还 有 一 个 就 是 画 面 不 够 清 晰 锐 利 的 问 题,O O O O O O B-ASP I-ASP O O O O O O O O O,0 0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0
一 开 始 那 到 手 的 时 候 觉 得 屏 没 我 想 象 中 的 惊 艳,O O O O O O O O O O O B-ASP O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0
手 机 太 大,B-ASP I-ASP I-ASP I-ASP,-1 -1 -1 -1
外 放 的 声 音 手 机 外 放 无 音 质 可 言 烂,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,-1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
我 对 这 个 机 子 的 内 放 音 质 有 点 失 望,O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0
据 说 松 下 对 焦 比 奥 巴 快 点,O O O O B-ASP I-ASP O O O O O,0 0 0 0 -1 -1 0 0 0 0 0
当 时 宣 传 对 焦 更 快,O O O O B-ASP I-ASP O O,0 0 0 0 -1 -1 0 0
系 列 的 画 质 一 般,O O O B-ASP I-ASP O O,0 0 0 -1 -1 0 0
成 像 最 新 最 好,B-ASP I-ASP O O O O,1 1 0 0 0 0
价 格 也 最 高,B-ASP I-ASP O O O,1 1 0 0 0
比 还 快 很 多,B-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1
设 计 也 很 棒,B-ASP I-ASP O O O,1 1 0 0 0
觉 得 的 设 计 很 奇 怪 也 不 好 看,O O O B-ASP I-ASP O O O O O O O,0 0 0 -1 -1 0 0 0 0 0 0 0
不 过 当 我 使 用 真 机 的 时 候 发 现 这 台 相 机 的 操 纵 十 分 方 便,O O O O O O O O O O O O O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
操 作 界 面 虽 然 说 比 较 简 单,B-ASP I-ASP I-ASP I-ASP O O O O O O O,1 1 1 1 0 0 0 0 0 0 0
外 放 孔 位 置 确 实 不 太 合 适,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,-1 -1 -1 -1 -1 0 0 0 0 0 0
颜 色 没 有 的 那 么 艳 丽 本 人 感 觉 的 颜 色 过 于 失 真 但 是 的 显 示 设 置 里 面 是 有 调 整 颜 色 的 选 项 的,B-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,-1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
后 面 下 了 点 小 游 戏 画 面 绝 对 完 美,O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 1 1 1 1 0 0 0 0
一 些 程 序 的 启 动 刚 开 始 感 觉 特 别 慢,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O O,0 0 -1 -1 -1 -1 -1 0 0 0 0 0 0 0 0
音 效 方 面 自 己 感 觉 还 可 以 吧,B-ASP I-ASP I-ASP I-ASP O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0
无 线 方 面 感 觉 接 收 要 强 点,B-ASP I-ASP I-ASP I-ASP O O O O O O O,1 1 1 1 0 0 0 0 0 0 0
首 先 感 觉 字 就 小 了 不 少,O O O O B-ASP O O O O O,0 0 0 0 -1 0 0 0 0 0
速 度 真 的 没 的 快,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
要 比 方 便,B-ASP I-ASP I-ASP I-ASP,1 1 1 1
屏 幕 显 示 一 开 始 更 是 不 习 惯,B-ASP I-ASP I-ASP I-ASP O O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0 0
我 感 觉 还 是 不 错 的,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1
第 二 就 是 系 统 的 可 操 作 性 很 好 很 强 大,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0
但 是 有 些 软 件 同 类 软 件 做 的 不 如 苹 果 细 致,O O O O B-ASP I-ASP O O O O O O O O O O O O,0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0
但 是 通 话 质 量 真 的 很 好 因 为 我 只 用 一 张 的 卡 所 以 暂 时 没 发 现 那 个 用 大 卡 爆 音 的 问 题,O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
就 是 感 觉 三 星 的 屏 幕 有 些 太 艳 丽 了,O O O O O O O B-ASP I-ASP O O O O O O,0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
外 形 确 实 有 点 大 了,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
操 作 简 便,B-ASP I-ASP O O,1 1 0 0
屏 大 经 验,B-ASP O O O,1 0 0 0
视 觉 效 果 震 撼,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
机 身 做 工 还 可 以,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
机 器 外 放 音 量 大,O O B-ASP I-ASP I-ASP I-ASP O,0 0 1 1 1 1 0
音 质 也 不 错,B-ASP I-ASP O O O,1 1 0 0 0
待 机 也 极 为 耗 电,B-ASP I-ASP O O O O O,-1 -1 0 0 0 0 0
二 是 触 屏 不 是 很 灵 敏,O O B-ASP I-ASP O O O O O,0 0 -1 -1 0 0 0 0 0
三 是 比 较 迷 惑 的 是 充 电 时 间 非 常 漫 长,O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0
最 基 本 的 续 航 太 烂 了,O O O O B-ASP I-ASP O O O,0 0 0 0 -1 -1 0 0 0
除 了 高 像 素 之 外,O O O B-ASP I-ASP O O,0 0 0 -1 -1 0 0
最 吸 引 人 的 特 性 还 有 小 巧 的 机 身 高 清 视 频 拍 摄 和 点 测 光,O O O O O O O O O O O O B-ASP I-ASP O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
机 子 太 大 了 点,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,-1 -1 -1 -1 -1 -1
另 外 的 机 身 比 较 小 巧,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
就 是 后 盖 的 设 计 太 丑 了,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 0 -1 -1 -1 -1 -1 0 0 0
作 为 手 机 来 说 确 实 没 有 的 手 感 好,O O O O O O O O O O O B-ASP I-ASP O,0 0 0 0 0 0 0 0 0 0 0 -1 -1 0
另 外 电 池 容 量 小 了 点,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 -1 -1 -1 -1 0 0 0
最 大 的 不 爽 是 充 电 太 不 方 便 了,O O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 0 -1 -1 0 0 0 0 0
拍 出 的 画 面 会 有 模 糊 的 感 觉,O O O B-ASP I-ASP O O O O O O O,0 0 0 -1 -1 0 0 0 0 0 0 0
手 感 非 常 好,B-ASP I-ASP O O O,1 1 0 0 0
机 子 比 想 象 中 的 更 大,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,1 1 1 1 1 1 1 1 1
磨 砂 后 背 手 感 巨 佳,O O O O B-ASP I-ASP O O,0 0 0 0 1 1 0 0
做 工 非 常 好,B-ASP I-ASP O O O,1 1 0 0 0
正 面 光 洁 的 玻 璃,O O O O O B-ASP I-ASP,0 0 0 0 0 1 1
加 上 底 部 精 细 的 透 音 孔,O O O O O O O B-ASP I-ASP I-ASP,0 0 0 0 0 0 0 1 1 1
相 机 确 实 很 牛,B-ASP I-ASP O O O O,1 1 0 0 0 0
诺 基 亚 地 图 确 实 不 错,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
城 市 万 花 筒 很 好 玩 很 实 用,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,1 1 1 1 1 0 0 0 0 0 0
音 乐 播 放 比 我 的 音 效 更 好,B-ASP I-ASP I-ASP I-ASP O O O O O O O,1 1 1 1 0 0 0 0 0 0 0
电 池 耗 电 速 度 比 快,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 0 0
操 作 系 统 复 杂,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
对 焦 较 快,B-ASP I-ASP O O,1 1 0 0
画 质 很 差 哦,B-ASP I-ASP O O O,-1 -1 0 0 0
